PRISM Time Series Data
Locations: 151
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 2013-07-01 - 2013-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Oct-03
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmean (degrees F)
04240300,-76.2264,43.0808,377,2013-07-01,0.00,72.8
04240300,-76.2264,43.0808,377,2013-07-02,0.43,69.6
04240300,-76.2264,43.0808,377,2013-07-03,0.08,76.1
04240300,-76.2264,43.0808,377,2013-07-04,0.03,80.1
04240300,-76.2264,43.0808,377,2013-07-05,0.01,78.9
04240300,-76.2264,43.0808,377,2013-07-06,0.34,80.0
04240300,-76.2264,43.0808,377,2013-07-07,0.05,78.9
04240300,-76.2264,43.0808,377,2013-07-08,0.06,78.0
04240300,-76.2264,43.0808,377,2013-07-09,0.11,76.7
04240300,-76.2264,43.0808,377,2013-07-10,0.21,78.8
04240300,-76.2264,43.0808,377,2013-07-11,0.35,76.3
04240300,-76.2264,43.0808,377,2013-07-12,0.00,70.5
04240300,-76.2264,43.0808,377,2013-07-13,0.00,72.0
04240300,-76.2264,43.0808,377,2013-07-14,0.00,74.5
04240300,-76.2264,43.0808,377,2013-07-15,0.00,81.1
04240300,-76.2264,43.0808,377,2013-07-16,0.00,79.6
04240300,-76.2264,43.0808,377,2013-07-17,0.00,79.9
04240300,-76.2264,43.0808,377,2013-07-18,0.00,83.9
04240300,-76.2264,43.0808,377,2013-07-19,0.00,83.7
04240300,-76.2264,43.0808,377,2013-07-20,0.27,81.6
04240300,-76.2264,43.0808,377,2013-07-21,0.14,71.2
04240300,-76.2264,43.0808,377,2013-07-22,0.00,70.7
04240300,-76.2264,43.0808,377,2013-07-23,0.38,75.0
04240300,-76.2264,43.0808,377,2013-07-24,0.06,74.1
04240300,-76.2264,43.0808,377,2013-07-25,0.00,57.8
04240300,-76.2264,43.0808,377,2013-07-26,0.00,64.5
04240300,-76.2264,43.0808,377,2013-07-27,0.00,68.1
04240300,-76.2264,43.0808,377,2013-07-28,0.43,74.2
04240300,-76.2264,43.0808,377,2013-07-29,0.86,65.6
04240300,-76.2264,43.0808,377,2013-07-30,0.03,66.7
04240300,-76.2264,43.0808,377,2013-07-31,0.00,66.4
04240300,-76.2264,43.0808,377,2013-08-01,0.00,71.4
04240300,-76.2264,43.0808,377,2013-08-02,0.29,69.7
04240300,-76.2264,43.0808,377,2013-08-03,0.03,69.2
04240300,-76.2264,43.0808,377,2013-08-04,0.01,68.1
04240300,-76.2264,43.0808,377,2013-08-05,0.00,62.5
04240300,-76.2264,43.0808,377,2013-08-06,0.00,64.3
04240300,-76.2264,43.0808,377,2013-08-07,0.00,69.2
04240300,-76.2264,43.0808,377,2013-08-08,0.01,73.0
04240300,-76.2264,43.0808,377,2013-08-09,0.35,77.6
04240300,-76.2264,43.0808,377,2013-08-10,0.22,70.3
04240300,-76.2264,43.0808,377,2013-08-11,0.00,63.5
04240300,-76.2264,43.0808,377,2013-08-12,0.00,67.4
04240300,-76.2264,43.0808,377,2013-08-13,0.72,71.0
04240300,-76.2264,43.0808,377,2013-08-14,0.24,65.4
04240300,-76.2264,43.0808,377,2013-08-15,0.02,61.4
04240300,-76.2264,43.0808,377,2013-08-16,0.00,64.2
04240300,-76.2264,43.0808,377,2013-08-17,0.00,64.5
04240300,-76.2264,43.0808,377,2013-08-18,0.00,68.8
04240300,-76.2264,43.0808,377,2013-08-19,0.00,69.7
04240300,-76.2264,43.0808,377,2013-08-20,0.00,70.8
04240300,-76.2264,43.0808,377,2013-08-21,0.00,72.5
04240300,-76.2264,43.0808,377,2013-08-22,0.00,75.1
04240300,-76.2264,43.0808,377,2013-08-23,0.52,73.2
04240300,-76.2264,43.0808,377,2013-08-24,0.00,63.0
04240300,-76.2264,43.0808,377,2013-08-25,0.00,64.9
04240300,-76.2264,43.0808,377,2013-08-26,0.04,71.2
04240300,-76.2264,43.0808,377,2013-08-27,0.78,71.1
04240300,-76.2264,43.0808,377,2013-08-28,0.00,75.4
04240300,-76.2264,43.0808,377,2013-08-29,0.00,75.0
04240300,-76.2264,43.0808,377,2013-08-30,0.00,73.6
04240300,-76.2264,43.0808,377,2013-08-31,0.24,75.1
04240300,-76.2264,43.0808,377,2013-09-01,0.01,74.8
04240300,-76.2264,43.0808,377,2013-09-02,0.57,75.4
04240300,-76.2264,43.0808,377,2013-09-03,0.55,73.0
04240300,-76.2264,43.0808,377,2013-09-04,0.02,64.2
04240300,-76.2264,43.0808,377,2013-09-05,0.00,67.5
04240300,-76.2264,43.0808,377,2013-09-06,0.00,56.0
04240300,-76.2264,43.0808,377,2013-09-07,0.00,58.6
04240300,-76.2264,43.0808,377,2013-09-08,0.51,63.3
04240300,-76.2264,43.0808,377,2013-09-09,0.00,55.2
04240300,-76.2264,43.0808,377,2013-09-10,0.09,61.6
04240300,-76.2264,43.0808,377,2013-09-11,0.46,77.6
04240300,-76.2264,43.0808,377,2013-09-12,0.30,80.9
04240300,-76.2264,43.0808,377,2013-09-13,0.26,67.7
04240300,-76.2264,43.0808,377,2013-09-14,0.14,53.4
04240300,-76.2264,43.0808,377,2013-09-15,0.00,52.1
04240300,-76.2264,43.0808,377,2013-09-16,0.10,57.4
04240300,-76.2264,43.0808,377,2013-09-17,0.00,46.7
04240300,-76.2264,43.0808,377,2013-09-18,0.00,51.7
04240300,-76.2264,43.0808,377,2013-09-19,0.00,59.2
04240300,-76.2264,43.0808,377,2013-09-20,0.00,63.6
04240300,-76.2264,43.0808,377,2013-09-21,0.00,68.5
04240300,-76.2264,43.0808,377,2013-09-22,0.73,61.2
04240300,-76.2264,43.0808,377,2013-09-23,0.01,52.0
04240300,-76.2264,43.0808,377,2013-09-24,0.00,48.1
04240300,-76.2264,43.0808,377,2013-09-25,0.00,51.2
04240300,-76.2264,43.0808,377,2013-09-26,0.00,55.9
04240300,-76.2264,43.0808,377,2013-09-27,0.00,57.4
04240300,-76.2264,43.0808,377,2013-09-28,0.00,57.5
04240300,-76.2264,43.0808,377,2013-09-29,0.00,59.4
04240300,-76.2264,43.0808,377,2013-09-30,0.00,61.0
04240300,-76.2264,43.0808,377,2013-10-01,0.00,63.9
04240300,-76.2264,43.0808,377,2013-10-02,0.00,64.2
04240300,-76.2264,43.0808,377,2013-10-03,0.00,62.5
04240300,-76.2264,43.0808,377,2013-10-04,0.18,61.1
04240300,-76.2264,43.0808,377,2013-10-05,0.16,61.9
04240300,-76.2264,43.0808,377,2013-10-06,0.30,61.6
04240300,-76.2264,43.0808,377,2013-10-07,0.47,65.1
04240300,-76.2264,43.0808,377,2013-10-08,1.03,59.6
04240300,-76.2264,43.0808,377,2013-10-09,0.00,51.6
04240300,-76.2264,43.0808,377,2013-10-10,0.00,53.6
04240300,-76.2264,43.0808,377,2013-10-11,0.00,53.9
04240300,-76.2264,43.0808,377,2013-10-12,0.00,54.3
04240300,-76.2264,43.0808,377,2013-10-13,0.00,59.4
04240300,-76.2264,43.0808,377,2013-10-14,0.12,61.0
04240300,-76.2264,43.0808,377,2013-10-15,0.05,54.3
04240300,-76.2264,43.0808,377,2013-10-16,0.00,59.7
04240300,-76.2264,43.0808,377,2013-10-17,0.15,57.6
04240300,-76.2264,43.0808,377,2013-10-18,0.64,57.4
04240300,-76.2264,43.0808,377,2013-10-19,0.00,53.5
04240300,-76.2264,43.0808,377,2013-10-20,0.20,53.8
04240300,-76.2264,43.0808,377,2013-10-21,0.00,50.7
04240300,-76.2264,43.0808,377,2013-10-22,0.03,56.1
04240300,-76.2264,43.0808,377,2013-10-23,0.05,45.7
04240300,-76.2264,43.0808,377,2013-10-24,0.09,42.7
04240300,-76.2264,43.0808,377,2013-10-25,0.22,43.0
04240300,-76.2264,43.0808,377,2013-10-26,0.09,43.1
04240300,-76.2264,43.0808,377,2013-10-27,0.02,44.3
04240300,-76.2264,43.0808,377,2013-10-28,0.02,43.4
04240300,-76.2264,43.0808,377,2013-10-29,0.00,37.9
04240300,-76.2264,43.0808,377,2013-10-30,0.03,36.9
04240300,-76.2264,43.0808,377,2013-10-31,0.00,46.3
04240300,-76.2264,43.0808,377,2013-11-01,0.99,57.6
04240300,-76.2264,43.0808,377,2013-11-02,0.05,56.3
04240300,-76.2264,43.0808,377,2013-11-03,0.10,42.0
04240300,-76.2264,43.0808,377,2013-11-04,0.00,30.6
04240300,-76.2264,43.0808,377,2013-11-05,0.00,33.4
04240300,-76.2264,43.0808,377,2013-11-06,0.00,46.8
04240300,-76.2264,43.0808,377,2013-11-07,0.37,54.4
04240300,-76.2264,43.0808,377,2013-11-08,0.29,40.5
04240300,-76.2264,43.0808,377,2013-11-09,0.15,36.9
04240300,-76.2264,43.0808,377,2013-11-10,0.09,42.3
04240300,-76.2264,43.0808,377,2013-11-11,0.23,41.6
04240300,-76.2264,43.0808,377,2013-11-12,0.04,36.6
04240300,-76.2264,43.0808,377,2013-11-13,0.04,28.2
04240300,-76.2264,43.0808,377,2013-11-14,0.00,29.9
04240300,-76.2264,43.0808,377,2013-11-15,0.00,40.4
04240300,-76.2264,43.0808,377,2013-11-16,0.00,45.3
04240300,-76.2264,43.0808,377,2013-11-17,0.00,48.9
04240300,-76.2264,43.0808,377,2013-11-18,0.28,56.0
04240300,-76.2264,43.0808,377,2013-11-19,0.09,44.7
04240300,-76.2264,43.0808,377,2013-11-20,0.00,28.7
04240300,-76.2264,43.0808,377,2013-11-21,0.00,29.6
04240300,-76.2264,43.0808,377,2013-11-22,0.16,38.8
04240300,-76.2264,43.0808,377,2013-11-23,0.06,39.5
04240300,-76.2264,43.0808,377,2013-11-24,0.22,27.5
04240300,-76.2264,43.0808,377,2013-11-25,0.09,20.7
04240300,-76.2264,43.0808,377,2013-11-26,0.01,26.4
04240300,-76.2264,43.0808,377,2013-11-27,1.42,33.7
04240300,-76.2264,43.0808,377,2013-11-28,0.17,27.7
