site_no,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd
01303500,40.85722220,-73.46333330,S,NAD83
01304000,40.84944444,-73.22416670,S,NAD83
01304500,40.91361110,-72.68666670,S,NAD83
01305000,40.83027778,-72.90611110,S,NAD83
01305500,40.76694444,-72.99361110,S,NAD83
01306460,40.77194444,-73.15861110,S,NAD83
01308000,40.70416667,-73.31388889,S,NAD83
01308500,40.70861110,-73.32833330,S,NAD83
01309500,40.68888889,-73.45472220,S,NAD83
01309950,40.67871226,-73.51568160,S,NAD83
01309990,40.67982330,-73.51234810,S,NAD83
01310500,40.66555556,-73.56972220,S,NAD83
01311500,40.66361110,-73.70444440,S,NAD83
01312000,43.96666667,-74.13166670,S,NAD83
01315000,43.75638889,-74.26722220,S,NAD83
01315170,43.93983330,-73.95361110,1,NAD83
01315226,43.94850000,-73.98836110,1,NAD83
01315227,43.94819444,-73.99011110,1,NAD83
01315500,43.70083330,-73.98333330,S,NAD83
01317000,43.60944444,-73.73750000,S,NAD83
01318500,43.31888889,-73.84416670,S,NAD83
01321000,43.35277778,-74.27027778,S,NAD83
01325000,43.31138889,-73.86722220,S,NAD83
01327500,43.30423926,-73.54650310,S,NAD83
01327750,43.26944444,-73.59583330,S,NAD83
01328770,43.12538889,-73.58491670,1,NAD83
01329490,43.10861110,-73.42166670,S,NAD83
01330000,43.03055556,-73.92722220,S,NAD83
01334500,42.93861110,-73.37694440,S,NAD83
01335754,42.82916667,-73.66611110,S,NAD83
01335755,42.82396640,-73.66206220,S,NAD83
01336000,43.26444444,-75.43638889,S,NAD83
01338000,43.14277778,-75.33780560,1,NAD83
01339060,43.11144444,-75.29400000,1,NAD83
01342602,43.09369444,-75.15791670,1,NAD83
01342682,43.02694444,-75.10430560,1,NAD83
01342730,43.00658330,-75.04166670,1,NAD83
01342743,42.98522220,-74.99044440,1,NAD83
0134277112,43.53380556,-74.86183330,1,NAD83
0134277114,43.53138889,-74.85291670,1,NAD83
01343060,43.36611110,-74.95777778,S,NAD83
01343403,43.28277778,-74.95919440,1,NAD83
01346000,43.06888889,-74.98833330,S,NAD83
01347000,43.01472220,-74.77944440,S,NAD83
01348000,43.01666667,-74.74083330,S,NAD83
01349000,42.92925000,-74.63288889,1,NAD83
01349150,42.87627778,-74.60286110,1,NAD83
01349527,42.95035136,-74.37207950,S,NAD83
01349700,42.24916667,-74.30277778,S,NAD83
01349705,42.23694444,-74.34027778,S,NAD83
01349711,42.18500000,-74.27694440,S,NAD83
01349810,42.23027778,-74.39305560,S,NAD83
01349950,42.30833330,-74.39000000,S,NAD83
01350000,42.31944444,-74.43666670,S,NAD83
01350035,42.33805556,-74.45166670,S,NAD83
01350080,42.37694444,-74.41305560,S,NAD83
01350101,42.39722220,-74.45055560,S,NAD83
